X,Y,Z,Weight,Yaw
4.900000000000002,0.20000000000000007,6.300000000000002,1.0,0.0
5.040383731324093,0.28941176404385754,6.263570860520611,1.0,0.5671178096864967
5.174373607474637,0.3845957109590146,6.234805171738938,1.0,0.6176595739751038
5.302138957968168,0.48528539442877244,6.213143171033077,1.0,0.6674320375176588
5.423849112321232,0.591214368136433,6.198025095781141,1.0,0.7161834730227961
5.539673400050359,0.7021161857652971,6.18889118336122,1.0,0.7636904871942473
5.6497811506720845,0.8177244009986662,6.185181671151418,1.0,0.809762306926556
5.754341693702948,0.9377725675198417,6.186336796529834,1.0,0.8542429884928165
5.853524358659484,1.0619942390121253,6.191796796874569,1.0,0.8970116859836553
5.947498475058234,1.190122969158818,6.201001909563727,1.0,0.9379812746774198
6.036433372415731,1.3218923116432213,6.213392371975404,1.0,0.9770957153496834
6.120498380248511,1.4570358201486362,6.2284084214877025,1.0,1.014326570093401
6.199862828073113,1.5952870483583645,6.245490295478723,1.0,1.0496690530920751
6.274696045406074,1.7363795499557082,6.264078231326566,1.0,1.0831379395248386
6.345167361763929,1.8800468786239666,6.28361246640933,1.0,1.1147635802832607
6.411446106663216,2.0260225880464433,6.303533238105118,1.0,1.1445881935605242
6.473701609620472,2.174040231906439,6.32328078379203,1.0,1.1726625358799239
6.532103200152231,2.3238333638872537,6.342295340848165,1.0,1.1990429994616274
6.586820207775033,2.4751355376721906,6.360017146651624,1.0,1.2237891412106592
6.638021962005413,2.6276803069445505,6.37588643858051,1.0,1.2469616200309324
6.68587779235991,2.781201225387635,6.389343454012921,1.0,1.2686205014549305
6.730557028355057,2.935431846684744,6.3998284303269575,1.0,1.2888238791763358
6.772228999507393,3.090105724519181,6.40678160490072,1.0,1.3076267595377826
6.811063035333456,3.244956412574245,6.40964321511231,1.0,1.3250801552668217
6.847228465349781,3.3997174645332398,6.407853498339828,1.0,1.341230337104393
6.880894619072905,3.5541224340794644,6.400852691961372,1.0,1.3561181951770938
6.912230826019366,3.707904874896224,6.388081033355047,1.0,1.369778665108347
6.941406415705697,3.860798340666815,6.36897875989895,1.0,1.3822401762745642
6.968590717648438,4.012536385074541,6.342986108971182,1.0,1.3935240807782472
6.993953061364128,4.162852561802705,6.309543317949845,1.0,1.4036440211920682
7.017643760176062,4.311503944229622,6.268175310921884,1.0,1.4127545597707525
7.039648274501617,4.458451499858033,6.21914116785256,1.0,1.4221567582895378
7.059867461328765,4.603760835790832,6.163076741592417,1.0,1.432538242447239
7.078201486705685,4.747498413702241,6.100620962023102,1.0,1.443929320697546
7.094550516680546,4.889730695266474,6.03241275902626,1.0,1.4563526084447036
7.108814717301522,5.030524142157751,5.959091062483537,1.0,1.469827885239758
7.120894254616786,5.169945216050289,5.881294802276579,1.0,1.4843714633506526
7.130689294674512,5.308060378618306,5.799662908287032,1.0,1.499995498815748
7.138100003522871,5.444936091536022,5.714834310396541,1.0,1.5167072536601351
7.143026547210041,5.580638816477656,5.627447938486753,1.0,1.5345083226771958
7.145369091784188,5.715235015117422,5.5381427224393125,1.0,1.5533938435452788
7.145027803293492,5.848791149129541,5.447557592135868,1.0,1.5733517148371443
7.141902847786124,5.981373680188232,5.356331477458063,1.0,1.5943618523307883
7.135894391310256,6.113049069967713,5.265103308287545,1.0,1.6163955194356425
7.126902599914061,6.243883780142201,5.174512014505956,1.0,1.6394147718746797
7.114827639645713,6.373944272385914,5.085196525994947,1.0,1.663372059267804
7.0995696758163644,6.5032970087358475,4.997795770520967,1.0,1.6882100314795323
7.080981227217467,6.632031903747178,4.912811934131786,1.0,1.714198431850329
7.058738280273397,6.760325764545086,4.830240569034338,1.0,1.7424648373541516
7.032475946206504,6.88837551780231,4.749959918859571,1.0,1.7730858652047528
7.001829336239142,7.016378090191582,4.671848227238433,1.0,1.8057945534962274
6.966433561593657,7.144530408385637,4.595783737801869,1.0,1.8402785821424286
6.925923733492399,7.27302939905721,4.521644694180826,1.0,1.8761882581266598
6.879934963157721,7.402071988879033,4.44930934000625,1.0,1.9131474770207426
6.82810236181197,7.531855104523845,4.3786559189090895,1.0,1.9507669148830016
6.770061040677496,7.662575672664375,4.309562674520288,1.0,1.9886583362907901
6.705446110976653,7.794430619973362,4.241907850470797,1.0,2.026448707358691
6.6338926839317836,7.927616873123537,4.175569690391557,1.0,2.063792829746753
6.555035870765247,8.062331358787636,4.110426437913521,1.0,2.1003834557195677
6.468510782699386,8.198771003638397,4.046356336667632,1.0,2.1359582411260583
6.373956653536586,8.337120803351885,3.9832415553392866,1.0,2.1703232067171365
6.271437001509594,8.476337848728397,3.921368218262545,1.0,2.2055374904238856
6.161802037524632,8.613102494255541,3.8617714495614024,1.0,2.246531811216548
6.045987357573108,8.743847984805539,3.8055676673810357,1.0,2.2957118916803383
5.924928557646421,8.865007565250611,3.7538732898666196,1.0,2.3557784172567793
5.799561233735974,8.973014480462975,3.7078047351633296,1.0,2.4304464399733714
5.670820981833172,9.064301975314857,3.668478421416345,1.0,2.524796843555706
5.539643397929412,9.135303294678465,3.637010766770836,1.0,2.6454835426369585
5.406964078016102,9.182451683426027,3.6145181893719824,1.0,2.800154357730258
5.273718618084639,9.20218038642976,3.602117107364958,1.0,2.99459776212079
5.140842672893519,9.191047447539079,3.6009044045888996,1.0,-3.058003426178711
5.009273664904262,9.149364840378896,3.6113893766291416,1.0,-2.834784482552978
4.879951051922942,9.08176683728893,3.633404766203462,1.0,-2.659943877811497
4.75381440438478,8.99312689212881,3.6667458778621578,1.0,-2.529037147981349
